umbral,accuracy,precision,recall,f1,pr_auc,roc_auc,TN,FP,FN,TP,alertas,costo_unidades,modelo
0.29500000000000004,0.966876603685561,0.5517241379310345,0.31788079470198677,0.40336134453781514,0.35439396294633196,0.7445591607209192,4097,39,103,48,87,1069,MLP inicial
0.30000000000000004,0.967343130394215,0.5647058823529412,0.31788079470198677,0.4067796610169492,0.35439396294633196,0.7445591607209192,4099,37,103,48,85,1067,MLP inicial
0.30500000000000005,0.9678096571028691,0.5802469135802469,0.31125827814569534,0.4051724137931034,0.35439396294633196,0.7445591607209192,4102,34,104,47,81,1074,MLP inicial
0.31,0.9689759738745043,0.618421052631579,0.31125827814569534,0.41409691629955947,0.35439396294633196,0.7445591607209192,4107,29,104,47,76,1069,MLP inicial
0.315,0.9694425005831584,0.6351351351351351,0.31125827814569534,0.4177777777777778,0.35439396294633196,0.7445591607209192,4109,27,104,47,74,1067,MLP inicial
0.32,0.9699090272918125,0.6527777777777778,0.31125827814569534,0.42152466367713004,0.35439396294633196,0.7445591607209192,4111,25,104,47,72,1065,MLP inicial
0.325,0.9699090272918125,0.6527777777777778,0.31125827814569534,0.42152466367713004,0.35439396294633196,0.7445591607209192,4111,25,104,47,72,1065,MLP inicial
0.33,0.9706088173547935,0.6811594202898551,0.31125827814569534,0.42727272727272725,0.35439396294633196,0.7445591607209192,4114,22,104,47,69,1062,MLP inicial
0.335,0.9710753440634476,0.7014925373134329,0.31125827814569534,0.43119266055045874,0.35439396294633196,0.7445591607209192,4116,20,104,47,67,1060,MLP inicial
0.34,0.9713086074177747,0.7121212121212122,0.31125827814569534,0.43317972350230416,0.35439396294633196,0.7445591607209192,4117,19,104,47,66,1059,MLP inicial
0.34500000000000003,0.9713086074177747,0.7121212121212122,0.31125827814569534,0.43317972350230416,0.35439396294633196,0.7445591607209192,4117,19,104,47,66,1059,MLP inicial
0.35000000000000003,0.9715418707721017,0.7230769230769231,0.31125827814569534,0.4351851851851852,0.35439396294633196,0.7445591607209192,4118,18,104,47,65,1058,MLP inicial
0.35500000000000004,0.9715418707721017,0.7230769230769231,0.31125827814569534,0.4351851851851852,0.35439396294633196,0.7445591607209192,4118,18,104,47,65,1058,MLP inicial
0.36000000000000004,0.9720083974807557,0.7540983606557377,0.304635761589404,0.4339622641509434,0.35439396294633196,0.7445591607209192,4121,15,105,46,61,1065,MLP inicial
0.36500000000000005,0.9720083974807557,0.7540983606557377,0.304635761589404,0.4339622641509434,0.35439396294633196,0.7445591607209192,4121,15,105,46,61,1065,MLP inicial
0.37000000000000005,0.9722416608350828,0.7666666666666667,0.304635761589404,0.43601895734597157,0.35439396294633196,0.7445591607209192,4122,14,105,46,60,1064,MLP inicial
0.375,0.9727081875437369,0.7931034482758621,0.304635761589404,0.44019138755980863,0.35439396294633196,0.7445591607209192,4124,12,105,46,58,1062,MLP inicial
0.38,0.9727081875437369,0.7931034482758621,0.304635761589404,0.44019138755980863,0.35439396294633196,0.7445591607209192,4124,12,105,46,58,1062,MLP inicial
0.385,0.9727081875437369,0.7931034482758621,0.304635761589404,0.44019138755980863,0.35439396294633196,0.7445591607209192,4124,12,105,46,58,1062,MLP inicial
