umbral,accuracy,precision,recall,f1,pr_auc,roc_auc,TN,FP,FN,TP,alertas,costo_unidades,modelo
0.24,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.245,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.25,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.255,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.26,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.265,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.27,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.275,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.28,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.28500000000000003,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.29000000000000004,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.29500000000000004,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.30000000000000004,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.30500000000000005,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
0.31,0.9727081875437369,0.765625,0.32450331125827814,0.4558139534883721,0.36980015276995626,0.7656195959880616,4121,15,102,49,64,1035,MLP regularizada
