umbral,accuracy,balanced_accuracy,precision,recall,f1,pr_auc,roc_auc,TN,FP,FN,TP,alertas,tasa_alertas,costo_relativo
0.66,0.9729414508980639,0.6669399362086413,0.7611940298507462,0.33774834437086093,0.46788990825688076,0.3980520136412288,0.7634964197420164,4120,16,100,51,67,0.01562864473991136,516
0.67,0.973174714252391,0.6670608259571906,0.7727272727272727,0.33774834437086093,0.4700460829493088,0.3980520136412288,0.7634964197420164,4121,15,100,51,66,0.015395381385584325,515
0.68,0.973174714252391,0.6670608259571906,0.7727272727272727,0.33774834437086093,0.4700460829493088,0.3980520136412288,0.7634964197420164,4121,15,100,51,66,0.015395381385584325,515
0.69,0.973174714252391,0.6670608259571906,0.7727272727272727,0.33774834437086093,0.4700460829493088,0.3980520136412288,0.7634964197420164,4121,15,100,51,66,0.015395381385584325,515
0.7,0.973174714252391,0.6670608259571906,0.7727272727272727,0.33774834437086093,0.4700460829493088,0.3980520136412288,0.7634964197420164,4121,15,100,51,66,0.015395381385584325,515
0.71,0.9729414508980639,0.6637495676790449,0.7692307692307693,0.33112582781456956,0.46296296296296297,0.3980520136412288,0.7634964197420164,4121,15,101,50,65,0.015162118031257289,520
0.72,0.9729414508980639,0.6637495676790449,0.7692307692307693,0.33112582781456956,0.46296296296296297,0.3980520136412288,0.7634964197420164,4121,15,101,50,65,0.015162118031257289,520
0.73,0.973174714252391,0.6638704574275942,0.78125,0.33112582781456956,0.46511627906976744,0.3980520136412288,0.7634964197420164,4122,14,101,50,64,0.014928854676930255,519
0.74,0.973174714252391,0.6638704574275942,0.78125,0.33112582781456956,0.46511627906976744,0.3980520136412288,0.7634964197420164,4122,14,101,50,64,0.014928854676930255,519
0.75,0.973174714252391,0.6638704574275942,0.78125,0.33112582781456956,0.46511627906976744,0.3980520136412288,0.7634964197420164,4122,14,101,50,64,0.014928854676930255,519
0.76,0.9734079776067179,0.6639913471761436,0.7936507936507936,0.33112582781456956,0.4672897196261682,0.3980520136412288,0.7634964197420164,4123,13,101,50,63,0.01469559132260322,518
0.77,0.973641240961045,0.6641122369246929,0.8064516129032258,0.33112582781456956,0.4694835680751174,0.3980520136412288,0.7634964197420164,4124,12,101,50,62,0.014462327968276184,517
0.78,0.9734079776067179,0.6608009786465472,0.8032786885245902,0.32450331125827814,0.46226415094339623,0.3980520136412288,0.7634964197420164,4124,12,102,49,61,0.014229064613949148,522
0.79,0.9734079776067179,0.6608009786465472,0.8032786885245902,0.32450331125827814,0.46226415094339623,0.3980520136412288,0.7634964197420164,4124,12,102,49,61,0.014229064613949148,522
0.8,0.9734079776067179,0.6608009786465472,0.8032786885245902,0.32450331125827814,0.46226415094339623,0.3980520136412288,0.7634964197420164,4124,12,102,49,61,0.014229064613949148,522
0.81,0.9734079776067179,0.6608009786465472,0.8032786885245902,0.32450331125827814,0.46226415094339623,0.3980520136412288,0.7634964197420164,4124,12,102,49,61,0.014229064613949148,522
0.82,0.973174714252391,0.6574897203684015,0.8,0.31788079470198677,0.4549763033175355,0.3980520136412288,0.7634964197420164,4124,12,103,48,60,0.013995801259622114,527
0.83,0.973174714252391,0.6574897203684015,0.8,0.31788079470198677,0.4549763033175355,0.3980520136412288,0.7634964197420164,4124,12,103,48,60,0.013995801259622114,527
0.84,0.973174714252391,0.6574897203684015,0.8,0.31788079470198677,0.4549763033175355,0.3980520136412288,0.7634964197420164,4124,12,103,48,60,0.013995801259622114,527
0.85,0.9734079776067179,0.6576106101169509,0.8135593220338984,0.31788079470198677,0.45714285714285713,0.3980520136412288,0.7634964197420164,4125,11,103,48,59,0.013762537905295079,526
0.86,0.9734079776067179,0.6576106101169509,0.8135593220338984,0.31788079470198677,0.45714285714285713,0.3980520136412288,0.7634964197420164,4125,11,103,48,59,0.013762537905295079,526
0.87,0.9734079776067179,0.6544202415873545,0.8245614035087719,0.31125827814569534,0.4519230769230769,0.3980520136412288,0.7634964197420164,4126,10,104,47,57,0.013296011196641007,530
0.88,0.973641240961045,0.6545411313359037,0.8392857142857143,0.31125827814569534,0.45410628019323673,0.3980520136412288,0.7634964197420164,4127,9,104,47,56,0.013062747842313973,529
0.89,0.973641240961045,0.6545411313359037,0.8392857142857143,0.31125827814569534,0.45410628019323673,0.3980520136412288,0.7634964197420164,4127,9,104,47,56,0.013062747842313973,529
0.9,0.9724749241894098,0.6316041028859826,0.851063829787234,0.26490066225165565,0.40404040404040403,0.3980520136412288,0.7634964197420164,4129,7,111,40,47,0.010963377653370656,562
0.91,0.9724749241894098,0.6316041028859826,0.851063829787234,0.26490066225165565,0.40404040404040403,0.3980520136412288,0.7634964197420164,4129,7,111,40,47,0.010963377653370656,562
0.92,0.9724749241894098,0.6316041028859826,0.851063829787234,0.26490066225165565,0.40404040404040403,0.3980520136412288,0.7634964197420164,4129,7,111,40,47,0.010963377653370656,562
0.93,0.9724749241894098,0.6284137343563863,0.8666666666666667,0.2582781456953642,0.3979591836734694,0.3980520136412288,0.7634964197420164,4130,6,112,39,45,0.010496850944716585,566
0.94,0.9727081875437369,0.6285346241049354,0.8863636363636364,0.2582781456953642,0.4,0.3980520136412288,0.7634964197420164,4131,5,112,39,44,0.010263587590389549,565
0.95,0.9722416608350828,0.6219121075486441,0.8809523809523809,0.24503311258278146,0.38341968911917096,0.3980520136412288,0.7634964197420164,4131,5,114,37,42,0.00979706088173548,575
0.96,0.9715418707721017,0.6087879641846107,0.8918918918918919,0.2185430463576159,0.35106382978723405,0.3980520136412288,0.7634964197420164,4132,4,118,33,37,0.008630744110100303,594
0.97,0.9708420807091206,0.5860927152317881,1.0,0.17218543046357615,0.2937853107344633,0.3980520136412288,0.7634964197420164,4136,0,125,26,26,0.006064847212502915,625
0.98,0.9692092372288313,0.5629139072847682,1.0,0.12582781456953643,0.2235294117647059,0.3980520136412288,0.7634964197420164,4136,0,132,19,19,0.004432003732213669,660
0.99,0.967109867039888,0.5331125827814569,1.0,0.06622516556291391,0.12422360248447205,0.3980520136412288,0.7634964197420164,4136,0,141,10,10,0.002332633543270352,705
